WordID,Word,Offset,Count
0,probing,0,67
1,origin,536,188
2,4fgl,2040,1
3,j0822,2048,1
4,8,2056,394
5,4207,5208,1
6,cosmic,5216,159
7,ray,6488,337
8,illumination,9184,31
9,snr,9432,24
10,puppis,9624,1
11,herbig,9632,5
12,haro,9672,4
13,object,9704,229
14,hh219,11536,1
15,miguel,11544,30
16,araya,11784,3
17,luis,11808,46
18,guti,12176,4
19,errez,12208,4
20,stephen,12240,50
21,kerby,12640,1
22,point,12648,737
23,source,18544,450
24,found,22144,749
25,dr2,28136,8
26,catalog,28200,36
27,gamma,28488,293
28,observatory,30832,75
29,fermi,31432,142
30,lat,32568,123
31,known,33552,792
32,association,39888,50
33,carry,40288,70
34,x,40848,814
35,observations,47360,504
36,help,51392,172
37,understand,52768,189
38,nature,54280,347
39,explore,57056,308
40,two,59520,2606
41,scenarios,80368,334
42,first,83040,1531
43,case,95288,1042
44,study,103624,2082
45,possibility,120280,165
46,rays,121600,74
47,supernova,122192,63
48,remnant,122696,29
49,seen,122928,160
50,nearby,124208,84
51,sky,124880,88
52,reach,125584,116
53,dense,126512,146
54,gas,127680,347
55,location,130456,108
56,produce,131320,185
57,inelastic,132800,56
58,proton,133248,116
59,collisions,134176,161
60,apply,135464,313
61,standard,137968,620
62,model,142928,2834
63,particle,165600,403
64,diffusion,168824,216
65,interstellar,170552,62
66,medium,171048,167
67,derive,172384,453
68,required,176008,266
69,physical,178136,494
70,parameters,182088,826
71,find,188696,1166
72,scenario,198024,210
73,possible,199704,672
74,located,205080,97
75,distance,205856,337
76,higher,208552,589
77,40,213264,119
78,pc,214216,67
79,unless,214752,29
80,older,214984,44
81,7,215336,404
82,kyr,218568,2
83,coefficient,218584,129
84,typical,219616,182
85,galactic,221072,169
86,values,222424,556
87,relatively,226872,172
88,low,228248,1065
89,energy,236768,1227
90,currently,246584,107
91,escaping,247440,8
92,second,247504,580
93,consider,252144,720
94,protostellar,257904,16
95,jet,258032,102
96,gev,258848,158
97,interesting,260112,182
98,particles,261568,291
99,accelerated,263896,66
100,energies,264424,220
101,least,266184,262
102,several,268280,790
103,tev,274600,99
104,make,275392,301
105,system,277800,1465
106,kind,289520,88
107,emission,290224,323
108,extending,292808,113
109,hundreds,293712,36
110,without,294000,678
111,apparent,299424,57
112,cutoff,299880,34
113,excellent,300152,107
114,laboratory,301008,82
115,process,301664,775
116,acceleration,307864,91
117,astro,308592,1253
118,ph,318616,3257
119,2022,344672,700
120,01,350272,903
121,12,357496,1032
122,level,365752,732
123,fluctuations,371608,220
124,many,373368,819
125,body,379920,266
126,effects,382048,640
127,disorder,387168,77
128,free,387784,535
129,quantum,392064,1013
130,dots,400168,52
131,min,400584,93
132,chul,401328,5
133,cha,401368,3
134,s,401392,2770
135,r,423552,1282
